# Intra-site net delay by site type and BEL pins, generated by IntraSiteDelayTable
# Delays in picoseconds at the slow corner.
# site_type from_bel/pin to_bel/pin slow_max_ps slow_min_ps samples

intrasite_delay
DSP58 DSP_C_DATA/C_DATA_13_ DSP_ALUMUX/C_DATA_13_ 0 0 3
DSP58 DSP_C_DATA/C_DATA_13_ DSP_PATDET/C_DATA_13_ 0 0 3
DSP58 DSP_C_DATA/C_DATA_15_ DSP_ALUMUX/C_DATA_15_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_15_ DSP_PATDET/C_DATA_15_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_16_ DSP_ALUMUX/C_DATA_16_ 0 0 2
DSP58 DSP_C_DATA/C_DATA_16_ DSP_PATDET/C_DATA_16_ 0 0 2
DSP58 DSP_C_DATA/C_DATA_18_ DSP_ALUMUX/C_DATA_18_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_18_ DSP_PATDET/C_DATA_18_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_20_ DSP_ALUMUX/C_DATA_20_ 0 0 3
DSP58 DSP_C_DATA/C_DATA_20_ DSP_PATDET/C_DATA_20_ 0 0 3
DSP58 DSP_C_DATA/C_DATA_21_ DSP_ALUMUX/C_DATA_21_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_21_ DSP_PATDET/C_DATA_21_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_26_ DSP_ALUMUX/C_DATA_26_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_26_ DSP_PATDET/C_DATA_26_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_28_ DSP_ALUMUX/C_DATA_28_ 0 0 2
DSP58 DSP_C_DATA/C_DATA_28_ DSP_PATDET/C_DATA_28_ 0 0 2
DSP58 DSP_C_DATA/C_DATA_29_ DSP_ALUMUX/C_DATA_29_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_29_ DSP_PATDET/C_DATA_29_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_33_ DSP_ALUMUX/C_DATA_33_ 0 0 3
DSP58 DSP_C_DATA/C_DATA_33_ DSP_PATDET/C_DATA_33_ 0 0 3
DSP58 DSP_C_DATA/C_DATA_36_ DSP_ALUMUX/C_DATA_36_ 0 0 2
DSP58 DSP_C_DATA/C_DATA_36_ DSP_PATDET/C_DATA_36_ 0 0 2
DSP58 DSP_C_DATA/C_DATA_38_ DSP_ALUMUX/C_DATA_38_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_38_ DSP_PATDET/C_DATA_38_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_40_ DSP_ALUMUX/C_DATA_40_ 0 0 3
DSP58 DSP_C_DATA/C_DATA_40_ DSP_PATDET/C_DATA_40_ 0 0 3
DSP58 DSP_C_DATA/C_DATA_41_ DSP_ALUMUX/C_DATA_41_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_41_ DSP_PATDET/C_DATA_41_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_46_ DSP_ALUMUX/C_DATA_46_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_46_ DSP_PATDET/C_DATA_46_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_48_ DSP_ALUMUX/C_DATA_48_ 0 0 2
DSP58 DSP_C_DATA/C_DATA_48_ DSP_PATDET/C_DATA_48_ 0 0 2
DSP58 DSP_C_DATA/C_DATA_49_ DSP_ALUMUX/C_DATA_49_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_49_ DSP_PATDET/C_DATA_49_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_53_ DSP_ALUMUX/C_DATA_53_ 0 0 3
DSP58 DSP_C_DATA/C_DATA_53_ DSP_PATDET/C_DATA_53_ 0 0 3
DSP58 DSP_C_DATA/C_DATA_54_ DSP_ALUMUX/C_DATA_54_ 0 0 1
DSP58 DSP_C_DATA/C_DATA_54_ DSP_PATDET/C_DATA_54_ 0 0 1
