# Horizontal wire delay corrections by (template, tile column),
# relative to the RC model. Rows are uniform; x is not.
# key corr_slow_max_ps corr_slow_min_ps samples

hwire_corr
NODE_HDOUBLE:OUT_EE#_W_BEG#@569 6.0 5.0 27
NODE_HDOUBLE:OUT_EE#_W_BEG#@573 8.2 3.7 33
NODE_HDOUBLE:OUT_EE#_W_BEG#@578 15.6 2.8 4
NODE_HDOUBLE:OUT_EE#_W_BEG#@58 200.4 141.4 6
NODE_HDOUBLE:OUT_EE#_W_BEG#@584 6.2 4.0 10
NODE_HDOUBLE:OUT_EE#_W_BEG#@588 3.9 4.2 31
NODE_HDOUBLE:OUT_EE#_W_BEG#@592 4.9 2.8 18
NODE_HDOUBLE:OUT_EE#_W_BEG#@597 59.3 28.8 3
NODE_HDOUBLE:OUT_EE#_W_BEG#@603 15.6 9.6 12
NODE_HDOUBLE:OUT_EE#_W_BEG#@608 0.7 2.7 22
NODE_HDOUBLE:OUT_EE#_W_BEG#@612 14.6 6.1 14
NODE_HDOUBLE:OUT_EE#_W_BEG#@617 204.8 145.0 5
NODE_HDOUBLE:OUT_EE#_W_BEG#@62 -9.7 -9.6 13
NODE_HDOUBLE:OUT_EE#_W_BEG#@621 16.0 8.0 7
NODE_HDOUBLE:OUT_EE#_W_BEG#@626 4.9 6.2 19
NODE_HDOUBLE:OUT_EE#_W_BEG#@630 10.4 2.2 17
NODE_HDOUBLE:OUT_EE#_W_BEG#@634 7.4 3.8 7
NODE_HDOUBLE:OUT_EE#_W_BEG#@638 15.0 6.5 6
NODE_HDOUBLE:OUT_EE#_W_BEG#@643 -0.6 -0.4 4
NODE_HDOUBLE:OUT_EE#_W_BEG#@67 -22.5 -15.8 20
NODE_HDOUBLE:OUT_EE#_W_BEG#@71 -21.8 -15.4 18
NODE_HDOUBLE:OUT_EE#_W_BEG#@76 84.5 45.4 6
NODE_HDOUBLE:OUT_EE#_W_BEG#@81 -8.5 -10.2 17
NODE_HDOUBLE:OUT_EE#_W_BEG#@86 -26.9 -18.3 31
NODE_HDOUBLE:OUT_EE#_W_BEG#@90 -19.3 -16.3 15
NODE_HDOUBLE:OUT_EE#_W_BEG#@94 -21.1 -17.7 12
NODE_HDOUBLE:OUT_EE#_W_BEG#@98 -28.0 -18.3 14
NODE_HDOUBLE:OUT_WW#_E_BEG#@103 -34.2 -34.2 12
NODE_HDOUBLE:OUT_WW#_E_BEG#@107 -19.3 -16.0 7
NODE_HDOUBLE:OUT_WW#_E_BEG#@111 3.0 3.4 10
NODE_HDOUBLE:OUT_WW#_E_BEG#@115 1.2 -0.8 51
NODE_HDOUBLE:OUT_WW#_E_BEG#@120 5.5 3.8 35
NODE_HDOUBLE:OUT_WW#_E_BEG#@124 2.4 1.7 26
NODE_HDOUBLE:OUT_WW#_E_BEG#@128 5.6 1.0 46
NODE_HDOUBLE:OUT_WW#_E_BEG#@133 14.9 9.1 13
NODE_HDOUBLE:OUT_WW#_E_BEG#@139 52.5 29.7 3
NODE_HDOUBLE:OUT_WW#_E_BEG#@144 1.2 3.0 18
NODE_HDOUBLE:OUT_WW#_E_BEG#@148 1.9 -1.3 34
NODE_HDOUBLE:OUT_WW#_E_BEG#@153 9.0 6.3 18
NODE_HDOUBLE:OUT_WW#_E_BEG#@158 17.3 11.2 3
NODE_HDOUBLE:OUT_WW#_E_BEG#@163 9.1 6.2 10
NODE_HDOUBLE:OUT_WW#_E_BEG#@167 7.1 2.0 23
NODE_HDOUBLE:OUT_WW#_E_BEG#@172 -8.8 -4.8 27
NODE_HDOUBLE:OUT_WW#_E_BEG#@181 8.1 2.6 15
NODE_HDOUBLE:OUT_WW#_E_BEG#@186 3.9 4.1 29
NODE_HDOUBLE:OUT_WW#_E_BEG#@197 1.7 0.3 20
NODE_HDOUBLE:OUT_WW#_E_BEG#@201 6.4 1.8 16
NODE_HDOUBLE:OUT_WW#_E_BEG#@206 -13.9 -8.0 33
NODE_HDOUBLE:OUT_WW#_E_BEG#@215 7.6 5.0 23
NODE_HDOUBLE:OUT_WW#_E_BEG#@220 4.0 3.5 14
NODE_HDOUBLE:OUT_WW#_E_BEG#@225 18.8 4.2 1
NODE_HDOUBLE:OUT_WW#_E_BEG#@230 0.6 2.4 16
NODE_HDOUBLE:OUT_WW#_E_BEG#@234 4.9 3.4 24
NODE_HDOUBLE:OUT_WW#_E_BEG#@239 -2.9 -1.9 11
NODE_HDOUBLE:OUT_WW#_E_BEG#@244 -43.8 -35.6 4
NODE_HDOUBLE:OUT_WW#_E_BEG#@248 6.1 2.9 36
NODE_HDOUBLE:OUT_WW#_E_BEG#@253 8.8 5.7 24
NODE_HDOUBLE:OUT_WW#_E_BEG#@259 55.7 33.0 2
NODE_HDOUBLE:OUT_WW#_E_BEG#@264 8.5 5.4 13
NODE_HDOUBLE:OUT_WW#_E_BEG#@268 3.5 0.8 32
NODE_HDOUBLE:OUT_WW#_E_BEG#@273 -10.3 -4.7 29
NODE_HDOUBLE:OUT_WW#_E_BEG#@282 2.9 0.5 26
NODE_HDOUBLE:OUT_WW#_E_BEG#@287 10.0 5.8 24
NODE_HDOUBLE:OUT_WW#_E_BEG#@297 8.6 5.2 26
NODE_HDOUBLE:OUT_WW#_E_BEG#@301 5.3 1.3 21
NODE_HDOUBLE:OUT_WW#_E_BEG#@306 -8.5 -3.2 36
NODE_HDOUBLE:OUT_WW#_E_BEG#@315 8.7 5.9 33
NODE_HDOUBLE:OUT_WW#_E_BEG#@320 9.6 6.6 15
NODE_HDOUBLE:OUT_WW#_E_BEG#@331 -7.7 -2.8 18
NODE_HDOUBLE:OUT_WW#_E_BEG#@335 6.8 4.1 29
NODE_HDOUBLE:OUT_WW#_E_BEG#@340 -0.9 -0.7 14
NODE_HDOUBLE:OUT_WW#_E_BEG#@345 -40.6 -35.3 2
NODE_HDOUBLE:OUT_WW#_E_BEG#@349 12.8 9.1 27
NODE_HDOUBLE:OUT_WW#_E_BEG#@354 -3.3 -3.1 20
NODE_HDOUBLE:OUT_WW#_E_BEG#@359 -0.7 1.7 1
NODE_HDOUBLE:OUT_WW#_E_BEG#@364 -4.6 -0.6 9
NODE_HDOUBLE:OUT_WW#_E_BEG#@368 5.7 1.0 23
NODE_HDOUBLE:OUT_WW#_E_BEG#@373 -12.2 -7.1 28
NODE_HDOUBLE:OUT_WW#_E_BEG#@382 6.6 3.3 19
NODE_HDOUBLE:OUT_WW#_E_BEG#@387 13.6 10.6 21
NODE_HDOUBLE:OUT_WW#_E_BEG#@398 -2.4 -3.1 19
NODE_HDOUBLE:OUT_WW#_E_BEG#@402 6.3 2.9 12
NODE_HDOUBLE:OUT_WW#_E_BEG#@407 -14.1 -7.3 33
NODE_HDOUBLE:OUT_WW#_E_BEG#@416 3.0 3.4 25
NODE_HDOUBLE:OUT_WW#_E_BEG#@421 3.9 2.6 12
NODE_HDOUBLE:OUT_WW#_E_BEG#@426 22.3 7.5 3
NODE_HDOUBLE:OUT_WW#_E_BEG#@431 -0.1 -0.9 18
NODE_HDOUBLE:OUT_WW#_E_BEG#@435 6.1 3.7 20
NODE_HDOUBLE:OUT_WW#_E_BEG#@440 -2.5 -2.4 8
NODE_HDOUBLE:OUT_WW#_E_BEG#@445 -39.5 -32.9 4
NODE_HDOUBLE:OUT_WW#_E_BEG#@449 6.9 3.4 36
NODE_HDOUBLE:OUT_WW#_E_BEG#@454 6.4 5.7 15
NODE_HDOUBLE:OUT_WW#_E_BEG#@460 60.6 34.9 2
NODE_HDOUBLE:OUT_WW#_E_BEG#@465 4.9 3.3 14
NODE_HDOUBLE:OUT_WW#_E_BEG#@469 8.7 2.6 34
NODE_HDOUBLE:OUT_WW#_E_BEG#@474 -10.8 -5.5 24
NODE_HDOUBLE:OUT_WW#_E_BEG#@483 1.6 -0.5 25
NODE_HDOUBLE:OUT_WW#_E_BEG#@488 -1.4 -1.4 19
NODE_HDOUBLE:OUT_WW#_E_BEG#@49 -46.2 -44.0 9
NODE_HDOUBLE:OUT_WW#_E_BEG#@498 8.3 4.6 19
NODE_HDOUBLE:OUT_WW#_E_BEG#@502 7.7 4.1 13
NODE_HDOUBLE:OUT_WW#_E_BEG#@507 -7.5 -3.9 25
NODE_HDOUBLE:OUT_WW#_E_BEG#@516 4.2 3.7 22
NODE_HDOUBLE:OUT_WW#_E_BEG#@521 9.7 4.4 7
NODE_HDOUBLE:OUT_WW#_E_BEG#@527 72.0 37.5 1
NODE_HDOUBLE:OUT_WW#_E_BEG#@53 -41.8 -38.4 10
NODE_HDOUBLE:OUT_WW#_E_BEG#@532 -9.7 -5.6 14
NODE_HDOUBLE:OUT_WW#_E_BEG#@536 3.1 1.8 19
NODE_HDOUBLE:OUT_WW#_E_BEG#@541 -4.6 -1.7 6
NODE_HDOUBLE:OUT_WW#_E_BEG#@546 -28.2 -30.2 1
NODE_HDOUBLE:OUT_WW#_E_BEG#@550 5.8 2.9 21
NODE_HDOUBLE:OUT_WW#_E_BEG#@555 2.5 5.5 13
NODE_HDOUBLE:OUT_WW#_E_BEG#@560 23.0 7.6 4
NODE_HDOUBLE:OUT_WW#_E_BEG#@565 2.4 0.3 10
NODE_HDOUBLE:OUT_WW#_E_BEG#@569 -0.2 -1.8 8
NODE_HDOUBLE:OUT_WW#_E_BEG#@573 6.1 4.4 15
NODE_HDOUBLE:OUT_WW#_E_BEG#@578 -1.0 0.8 10
NODE_HDOUBLE:OUT_WW#_E_BEG#@58 -32.6 -32.7 9
